Denominación_social,Domicilio_social,Latitud,Longitud,Fecha_constitución,CNAE,Objeto_social,Tamaño_empresa_por_facturación,Índice_crec_interanual_ventas,Tamaño_empresa_por_empleados,Empleo_fijo,Empleo_temporal,Teléfono,Estado,URL,Metatag_descripción,RRSS,Cotización_en_bolsa,Actividad_internacional,Capital_social,Empleados,Empleados_año,Resultado
"Harinera Arandina, Sa","CARRETERA N-I, S/N - KM 157",41.688046,-3.685553,10/11/1982,1061 - Fabricación de productos de molinería,Fabricación de harina.,Mayor de 30 millones €,"2017: 
2018: 25,33 %
2019: 11,31 %",Entre 50 y 250,"2015: 87,75 %
2016: 87,50 %
2018: 85,71 %
2019: 83,01 %","2015: 12,24 %
2016: 12,50 %
2018: 14,28 %
2019: 16,98 %",947500400,Activa,http://www.harineraarandina.com,- -,,NO,Importa,"1.030.890,72 €",54 (año 2021),2021,Positivo Consultar
Tecnoaranda Sl,"CALLE PREMIOS ENVERO - PG IND PRADO MARINA, 10",41.656725,-3.708324,14/03/2008,2511 - Fabricación de estructuras metálicas y sus componentes,Fabricación de estructuras metálicas en chapa gruesa y calderería.,Mayor de 30 millones €,"2017: 
2018: -1,58 %
2019: 12,38 %",Más de 250,"2015: 63,38 %
2016: 63,07 %
2017: 66,85 %
2018: 86,25 %
2019: 81,52 %","2015: 36,61 %
2016: 36,92 %
2017: 33,14 %
2018: 13,74 %
2019: 18,47 %",947280000,Activa,http://www.tecnoaranda.com,"- tecnoaranda, torres eÃ³licas, torres para autogeneradores, chapa gruesa a medida, chapa industrial, bobina laminada en caliente, tuberÃ­a soldada, arco sumergido, SAW, caldererÃ­a industrial,logÃ­stica, cargas pesadas, cargas voluminosas, transporte especial, centro de servicios, planta integrada eficiente",,NO,Importa y Exporta,34.787.415 €,314 (año 2019),2019,Positivo Consultar
Porcipar Sl,CARRETERA SORIA (KM 267),41.648422,-3.673968,19/06/1995,4623 - Comercio al por mayor de animales vivos,Comercio al por mayor de animales vivos.,Mayor de 30 millones €,"2017: 
2018: 7,34 %
2019: 11,83 %",Menos de 5,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %",947511488,Activa,http://www.depabloarribas.com,"Hnos. De Pablo Arribas.
Transporte, producción y comercio de ganado porcino. De pablo, transporte, producción, comercio, porcino, aranda de duero",,NO,Importa y Exporta,"3.606,07 €",4 (año 2019),2019,Positivo Consultar
Artepref Sa,CARRETERA PALENCIA (KM 2 8),41.67179731,-3.69192201,29/10/1987,2361 - Fabricación de elementos de hormigón para la construcción,Prefabricados pesados.,Entre 6 y 30 millones €,"2017: 
2018: 19,2 %
2019: 7,03 %",Entre 50 y 250,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 53,36 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 46,63 %",947504600,Activa,http://www.artepref.com,"Creamos edificios singulares mediante prefabricados de hormigón armado. Naves industriales, naves prefabricadas, vigas, pórticos y paneles para cerramientos -","https://www.facebook.com/artepref.hormigonprefabricado, https://twitter.com/artepref",NO,Importa y Exporta,100.000 €,170 (año 2021),2021,Positivo Consultar
Transportes Juan Jose Gil Sl,CARRETERA N-I (KM 161 5),41.688046,-3.685553,28/09/1992,4941 - Transporte de mercancías por carretera,Transporte nacional e internacional de mercancías no peligrosas por carretera,Entre 6 y 30 millones €,"2017: 
2018: 8,31 %
2019: 7,46 %",Entre 50 y 250,"2015: 100,00 %
2016: 83,33 %
2017: 71,42 %
2018: 86,36 %
2019: 90,17 %","2015: 0 %
2016: 16,66 %
2017: 28,57 %
2018: 13,63 %
2019: 9,82 %",947511947,Activa,http://www.juanjosegil.com,- -,"https://www.facebook.com/pages/Transportes-Juan-Jose-Gil/132534383810543, https://www.facebook.com/pages/Transportes-Juan-Jose-Gil/132534383810543",NO,No constan,"609.293,8 €",115 (año 2020),2020,Positivo Consultar
Hiescosa Aranda Hierros Sl,"AVENIDA EXTREMADURA (PG IND ALLENDEDUERO), S/N - PARC. 59",41.664635,-3.723364,26/07/1996,4672 - Comercio al por mayor de metales y minerales metálicos,Comercio al por mayor de hierro y acero.,Entre 6 y 30 millones €,"2017: 
2018: 11,11 %
2019: -7,03 %",Entre 25 y 50,"2015: 100,00 %
2016: 100,00 %
2017: 96,00 %
2018: 86,20 %
2019: 89,65 %","2015: 0 %
2016: 0 %
2017: 4,00 %
2018: 13,79 %
2019: 10,34 %",947500582,Activa,https://www.hiescosaarandahierros.com/,"Venta de hierros en Aranda de Duero en Hiescosa Aranda Hierros tu almacén especializado en productos y servicios del sector siderometalúrgico, llámanos None","https://www.facebook.com/sharer/sharer.php?u=https%3A//www.hiescosaarandahierros.com/es/, http://www.facebook.com/dialog/send?app_id=255986568181021&link=https%3A//www.hiescosaarandahierros.com/es/&redirect_uri=https%3A//www.hiescosaarandahierros.com/es/, https://twitter.com/intent/tweet?text=Almacenes%20de%20hierro%20en%20Burgos%20%7C%20Hiescosa%20Aranda%20Hierros&url=https%3A//www.hiescosaarandahierros.com/es/, https://www.linkedin.com/shareArticle?mini=true&url=https%3A//www.hiescosaarandahierros.com/es/&title=Almacenes%20de%20hierro%20en%20Burgos%20%7C%20Hiescosa%20Aranda%20Hierros&summary=&source=",NO,No constan,"1.325.051,39 €",29 (año 2019),2019,Positivo Consultar
Vidriera Arandina Sl,"AVENIDA PORTUGAL (PG IND ALLENDE DE DUERO), 2 - P 49",41.664994,-3.738385,20/11/1997,2312 - Manipulado y transformación de vidrio plano,"Transformación de vidrio templado y laminado, doble acristalamiento, etc.",Entre 6 y 30 millones €,"2017: 
2018: 25,12 %
2019: 12,05 %",Entre 50 y 250,"2015: 70,96 %
2016: 64,48 %
2017: 64,86 %
2018: 66,38 %
2019: 70,73 %","2015: 29,03 %
2016: 35,51 %
2017: 35,13 %
2018: 33,61 %
2019: 29,26 %",947512357,Activa,http://www.lavidriera.com,- -,"https://www.facebook.com/vidriera.arandina, https://www.facebook.com/vidriera.arandina, https://twitter.com/vidrierarandina, https://twitter.com/vidrierarandina, https://www.instagram.com/vidrieraarandina/, https://www.instagram.com/vidrieraarandina/, https://www.linkedin.com/company/vidriera-arandina-s-l-/, https://www.linkedin.com/company/vidriera-arandina-s-l-/",NO,No constan,"2.128.194,55 €",120 (año 2020),2020,Positivo Consultar
Tamaca Autocentro Sa,"AVENIDA LUIS MATEOS, 84",41.664767,-3.704617,23/12/1992,4730 - Comercio al por menor de combustible para la automoción en establecimientos especializados,"Explotación de 3 estaciones de servicio, 1 túnel de lavado, 3 tiendas y 1 restaurante-cafetería",Entre 6 y 30 millones €,"2017: 
2018: 102,71 %
2019: 62 %",Entre 25 y 50,"2015: 93,93 %
2016: 91,66 %
2017: 94,11 %
2018: 97,05 %
2019: 94,44 %","2015: 6,06 %
2016: 8,33 %
2017: 5,88 %
2018: 2,94 %
2019: 5,55 %",947546536,Activa,-,-,-,NO,No constan,"471.373,79 €",36 (año 2019),2019,Positivo Consultar
Evolution Chr Company Sl.,"AVENIDA MIRANDA DO DOURO, 2 - BJ",41.669811,-3.686339,03/02/2012,4121 - Construcción de edificios residenciales,"Ejecución de obras nuevas de edificaciones urbanas, industriales, abastecimientos de aguas, movimientos de tierra, y toda clase de obras de construcción. Adquisición y venta de fincas. Compra, venta y explotación de bienes inmuebles. Compra y venta de valores mobiliarios",Entre 6 y 30 millones €,"2017: 
2018: 7,02 %
2019: 9,82 %",Entre 25 y 50,"2015: 70,00 %
2016: 80,00 %
2017: 29,16 %
2018: 36,00 %
2019: 30,55 %","2015: 30,00 %
2016: 20,00 %
2017: 70,83 %
2018: 64,00 %
2019: 69,44 %",-,Activa,-,-,-,NO,No constan,33.010 €,36 (año 2019),2019,Positivo Consultar
Hormigones Y Excavaciones Gerardo De La Calle Sl,"CARRETERA PALENCIA, KM 2.8",41.67179731,-3.69192201,31/12/1991,2361 - Fabricación de elementos de hormigón para la construcción,Fabricacion de Prefabricado de hormigón.,Entre 6 y 30 millones €,"2017: 
2018: 11,06 %
2019: 16,49 %",Entre 25 y 50,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %",947504110,Activa,http://www.grupogerardodelacalle.com,"- Grupo Industrial Gerardo de la calle, artepref, desarrollos industriales prado marina, hormigones y excavaciones, suelo industrial, prefabricados de hormigón, hormigones, excavaciones, suelo industrial, áridos, calferman",,NO,No constan,1.659.000 €,43 (año 2021),2021,Positivo Consultar
Chr Europa Gestion Y Construccion Sl.,"AVENIDA PORTUGAL, 14 - PG ALLENDEDUERO",41.66556338,-3.73342132,19/01/1993,4121 - Construcción de edificios residenciales,"Construccion, reformas y mantenimiento de edificios residenciales.",Entre 6 y 30 millones €,"2017: 
2018: 194,01 %
2019: 112,85 %",Entre 5 y 25,"2015: 80,00 %
2016: 28,57 %
2017: 25,00 %
2018: 23,52 %
2019: 14,81 %","2015: 20,00 %
2016: 71,42 %
2017: 75,00 %
2018: 76,47 %
2019: 85,18 %",947512377,Activa,-,-,-,NO,No constan,60.000 €,20 (año 2020),2020,Positivo Consultar
Explotacion Porcina Gonzalez Sat 7549,"AVENIDA CASTILLA, 72 - PLT 4 A",41.6608568,-3.69203686,15/07/1985,0146 - Explotación de ganado porcino,PRODUCCION Y ENGORDE DE CERDOS ASI COMO LA PRODUCCION DE CEREALES,Entre 6 y 30 millones €,"2017: 
2018: -14,45 %
2019: 34,69 %",Entre 5 y 25,"2015: 56,25 %
2016: 73,33 %
2017: 62,50 %
2018: 93,75 %
2019: 86,66 %","2015: 43,75 %
2016: 26,66 %
2017: 37,50 %
2018: 6,25 %
2019: 13,33 %",947546481,Activa,-,-,-,NO,Exporta,"151.959,9 €",15 (año 2019),2019,Positivo Consultar
Gangel Sl,"CALLE DOS DE MAYO, 18",41.67316796,-3.68426045,26/08/2003,4623 - Comercio al por mayor de animales vivos,Compra-venta y transporte de ganado porcino.,Entre 6 y 30 millones €,"2017: 
2018: -12,47 %
2019: 50,7 %",Entre 5 y 25,"2015: 100,00 %
2016: 85,71 %
2017: 85,71 %
2018: 75,00 %
2019: 100,00 %","2015: 0 %
2016: 14,28 %
2017: 14,28 %
2018: 25,00 %
2019: 0 %",947538340,Activa,http://www.gangel.es,- -,,NO,Importa y Exporta,24.000 €,6 (año 2020),2020,Positivo Consultar
Gasoleos Aranda Sl,"CALLE CANARIAS, 1",41.665079,-3.724868,22/12/1992,4730 - Comercio al por menor de combustible para la automoción en establecimientos especializados,Transporte nacional de mercancías,Entre 6 y 30 millones €,"2017: 
2018: 16,18 %
2019: 9,74 %",Entre 5 y 25,"Administrador:  FERNANDO B...
 JOSE IGNACIO B...: Gerente
Director Financiero:  JOSE IGNACIO B...","Administrador: Administrador
 JOSE IGNACIO B...:  JOSE IGNACIO B...
Director Financiero: Administrador",947509200,Activa,-,-,-,NO,No constan,"3.005,06 €",7 (año 2020),2020,Positivo Consultar
Hermanos De Pablo Arribas Sl,CARRETERA SORIA (KM 267),41.648422,-3.673968,29/07/1986,4941 - Transporte de mercancías por carretera,Transporte de de animales vivos por carretera.,Entre 3 y 6 millones €,"2017: 
2018: 21,55 %
2019: -4,83 %",Entre 50 y 250,"2015: 86,66 %
2016: 84,44 %
2017: 85,71 %
2018: 92,30 %
2019: 88,88 %","2015: 13,33 %
2016: 15,55 %
2017: 14,28 %
2018: 7,69 %
2019: 11,11 %",947511488,Activa,http://www.depabloarribas.com,"Hnos. De Pablo Arribas.
Transporte, producción y comercio de ganado porcino. De pablo, transporte, producción, comercio, porcino, aranda de duero",,NO,No constan,"18.030,36 €",52 (año 2020),2020,Positivo Consultar
Por Blan Sa,"CARRETERA VALLADOLID, 2",41.67541,-3.69465,11/07/1986,4321 - Instalaciones eléctricas,Servicios de instalaciones eléctricas.,Entre 3 y 6 millones €,"2017: 
2018: 22,78 %
2019: -10,96 %",Entre 25 y 50,"2015: 79,41 %
2016: 91,17 %
2017: 90,62 %
2018: 90,62 %
2019: 93,33 %","2015: 20,58 %
2016: 8,82 %
2017: 9,37 %
2018: 9,37 %
2019: 6,66 %",947501364,Activa,http://www.porblan.com,"Contamos con una amplia trayectoria en el sector de montajes eléctricos industriales. Contacte con nosotros en Aranda de Duero, le esperamos. -",,NO,No constan,66.110 €,32 (año 2020),2020,Positivo Consultar
Magdalenas De Las Heras Sa,"CALLE SEGOVIA (POL IND ALLENDE DUERO), 19 -21",41.66630224,-3.7032878,30/12/1985,1072 - Fabricación de galletas y productos de panadería y pastelería de larga duración,Fabricación de magdalenas,Entre 3 y 6 millones €,"2017: 
2018: -5,14 %
2019: -7,78 %",Entre 25 y 50,"2015: 96,42 %
2016: 100,00 %
2017: 100,00 %
2018: 84,00 %
2019: 84,00 %","2015: 3,57 %
2016: 0 %
2017: 0 %
2018: 16,00 %
2019: 16,00 %",947502458,Activa,http://www.magdalenasdelasheras.com,"Empresa especializada en la producción y distribución de magdalenas y mini-muffins, situada en Aranda de Duero (Burgos) magdalenas,heras, fairy, cakes, fairycakes, baking, sweet, mini-muffins, croissants, madeleines, rellenas, filled, reposteria, aranda, duero, burgos, panaderia, alimentacion, bolleria",,NO,Exporta,660.500 €,30 (año 2020),2020,Positivo Consultar
Electro-sanz Hermanos Sl,"AVENIDA LUIS MATEOS, S/N",41.66384872,-3.69896688,04/12/1987,4511 - Venta de automóviles y vehículos de motor ligeros,"Venta de automóviles y vehículos de motor ligeros, marcas Seat y Volkswagen.",Entre 3 y 6 millones €,"2017: 
2018: 11,12 %
2019: 10,54 %",Entre 25 y 50,"2015: 95,83 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 96,42 %","2015: 4,16 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 3,57 %",947512513,Activa,http://www.electrosanzhermanos.com,"Electro-Sanz Hermanos, Aranda de Duero. Concesionario Oficial SEAT. Vehículos Nuevos. Vehículos de Ocasión. C/ Vendimia s/n Pol. Ind. Prado Marina Aranda de Duero. Tlf.: 947 51 25 13. seat, electrosanz, electrosanz hermanos, Aranda de Duero, burgos, prado marina, concesionario, km 0, venta, coches, empresa, industrial, Castilla y León, España, coches, segunda mano, vehículos, compra coches, ribera, duero, Roberto Estébanez",,NO,No constan,"349.239,1 €",27 (año 2020),2020,Positivo Consultar
Ingenieria De Proceso Y Diseño Taesa Sa,"CARRETERA N-I (KM 161, ,  POL. NORTE APDO DE AV.COSTAJAN), 112 - Nº15",41.666808,-3.700066,30/12/1998,7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,Servicios técnicos de ingeniería para la industria cárnica.,Entre 3 y 6 millones €,"2017: 
2018: 64,16 %
2019: -31,13 %",Entre 25 y 50,"2015: 80,76 %
2016: 87,50 %
2017: 91,30 %
2018: 88,00 %
2019: 87,50 %","2015: 19,23 %
2016: 12,50 %
2017: 8,69 %
2018: 12,00 %
2019: 12,50 %",947510624,Activa,http://www.taesa-gi.com,"Instalaciones completas para industrias cárnicas. Máquinas y equipamento para mataderos y salas despiece. mataderos,porcino,ovino,bovino,accesorios,depuradoras,salas de despiece,industria cárnica",,NO,Exporta,601.200 €,27 (año 2020),2020,Positivo Consultar
Carlos De Pedro Manso Sa,"POLIGONO INDUSTRIAL ALLENDE DE DUERO (AVDA. PORTUGAL), 68",41.670238,-3.711496,23/03/1988,4634 - Comercio al por mayor de bebidas,"Distribución de bebidas de todo tipo , como refrescos y bebidas alcohólicas",Entre 3 y 6 millones €,"2017: 
2018: -0,17 %
2019: 6,66 %",Entre 5 y 25,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %",947505269,Activa,http://www.carlosdepedro.com,- -,,NO,No constan,"60.101,21 €",12 (año 2020),2020,Positivo Consultar
Javier Camara Industrias Ganaderas S.l.,"POLIGONO INDUSTRIAL ALLENDE DE DUERO (CRTA VALLADOLID), S/N",41.670238,-3.711496,27/01/1995,2920 - Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,Fabricación de maquinaria y material ganadero destinado a la agricultura y a la ganadería.,Entre 3 y 6 millones €,"2017: 
2018: 3,04 %
2019: -9,5 %
2020:  %",Entre 25 y 50,"2015: 71,79 %
2016: 87,75 %
2017: 71,42 %
2018: 77,08 %
2019: 85,71 %","2015: 28,20 %
2016: 12,24 %
2017: 28,57 %
2018: 22,91 %
2019: 14,28 %",947512323,Activa,http://www.javiercamara.es,"Fabricación de equipos para el ganado ovino,  vacuno, caprino y porcino JAVIER CÁMARA INDUSTRIAS GANADERAS SL, equipos, ovino, vacuno, caprino, porcino, Aranda de Duero,  Burgos","https://www.facebook.com/Javier-Camara-industrias-ganaderas-Sl-150954391626194, https://twitter.com/JavierCamaraIG, https://www.instagram.com/javier_camara_industrias/, https://www.linkedin.com/company/javier-c%C3%A1mara-industrias-ganaderas-s-l",NO,Importa y Exporta,192.320 €,42 (año 2021),2021,Positivo Consultar
Solinox Montajes Industriales Sl.,"AVENIDA LUIS MATEOS (POL. INDUSTRIAL ALLEN DE DUERO), 98",41.664767,-3.704617,04/12/2000,4399 - Otras actividades de construcción especializada n.c.o.p.,Instalaciones y montajes metalicos e industriales.,Entre 3 y 6 millones €,"2017: 
2018: 9,97 %
2019: 2,94 %",Entre 25 y 50,"2015: 64,51 %
2016: 58,33 %
2017: 52,50 %
2018: 48,88 %
2019: 46,80 %","2015: 35,48 %
2016: 41,66 %
2017: 47,50 %
2018: 51,11 %
2019: 53,19 %",947513537,Activa,http://www.solinox.com,- -,,NO,No constan,48.080 €,41 (año 2020),2020,Positivo Consultar
Ventilacion Estructura Y Montajes Metalicos Sl,"CALLE SALAMANCA, 6 - Nº 6",41.66556098,-3.71594763,19/07/1975,4399 - Otras actividades de construcción especializada n.c.o.p.,"LA TRANSFORMACION, MANIPULACION, Y MONTAJE DE PRODUCTOS FERRICOS, ALUMINIOS Y DEMAS RAMAS DEL METAL, ASI COMO LA CONSTRUCCION, REPARACION Y CONSERVACION DE TODA CLASE DE OBRAS.",Entre 3 y 6 millones €,"2017: 
2018: 20,58 %
2019: -6,77 %",Entre 25 y 50,"2015: 100,00 %
2016: 100,00 %
2017: 55,88 %
2018: 47,50 %
2019: 58,14 %","2015: 0 %
2016: 0 %
2017: 44,11 %
2018: 52,50 %
2019: 41,86 %",947512012,Activa,http://www.vemsa.es,"VENTILACIÓN INDUSTRIAL, ESTRUCTURAS METÁLICAS, MONTAJES METÁLICOS, ILUMINACIÓN NATURAL - VEMSA. Estructuras metálicas, ventilación industrial, montajes metálicos, iluminación industrial. Estamos en Madrid, Burgos y Euskadi. Vemsa, Estrucutas metalicas, estructuras metálicas, ventilacion industrial, ventilación industrial, iluminación industrial, motaje estructuras metalicas,Estrucutas metalicas madrid, estructuras metálicas madrid, ventilacion industrial madrid, ventilación industrial madrid, iluminación industrial madrid, motaje estructuras metalicas madrid,Estrucutas metalicas burgos, estructuras metálicas burgos, ventilacion industrial burgos, ventilación industrial burgos, iluminación industrial burgos, motaje estructuras metalicas burgos, Estrucutas metalicas euskadi, estructuras metálicas euskadi, ventilacion industrial euskadi, ventilación industrial euskadi, iluminación industrial euskadi, motaje estructuras metalicas euskadi",,NO,Importa y Exporta,"1.029.233,23 €",43 (año 2019),2019,Positivo Consultar
Revicar Logistica Sl.,"AVENIDA PORTUGAL, 23",41.66624954,-3.7267965,28/02/2013,4941 - Transporte de mercancías por carretera,Transporte de mercancías paletizada por carretera.,Entre 3 y 6 millones €,"2017: 
2018: -3,15 %
2019: 9,07 %",Entre 25 y 50,"2015: 88,00 %
2016: 82,14 %
2017: 93,33 %
2018: 93,54 %
2019: 79,41 %","2015: 12,00 %
2016: 17,85 %
2017: 6,66 %
2018: 6,45 %
2019: 20,58 %",947538064,Activa,http://www.revicar.es,Empresa puntera de logística en Aranda de Duero -,,NO,No constan,936.318 €,30 (año 2020),2020,Positivo Consultar
Industrias Metalurgicas Esgueva Sa,"CARRETERA VALLADOLID, 20",41.67541,-3.69465,12/12/1987,2899 - Fabricación de otra maquinaria para usos específicos n.c.o.p.,Fabricación de estructuras metálicas y siderometalúrgica,Entre 3 y 6 millones €,"2017: 
2018: 5,42 %
2019: -29,14 %",Entre 25 y 50,"2015: 96,07 %
2016: 96,15 %
2017: 97,87 %
2018: 100,00 %
2019: 100,00 %","2015: 3,92 %
2016: 3,84 %
2017: 2,12 %
2018: 0 %
2019: 0 %",947507891,Activa,http://www.imesa.es,"Imesa, bienes de equipo para centrales hidroeléctricas, arquitectura industrial y calderería. -","https://www.facebook.com/IndustriasMetalurgicasEsguevaSa, https://twitter.com/ImesaAranda",NO,Importa y Exporta,72.000 €,44 (año 2020),2020,Negativo Consultar
Suministros Industriales Herrera Sa,"CALLE VALLADOLID (PG ALLENDE DUERO), PARC 18",41.668553,-3.69979,06/05/1983,7732 - Alquiler de maquinaria y equipo para la construcción e ingeniería civil,COMERCIO MENOR DE MAQUINARIA,Entre 3 y 6 millones €,"2017: 
2018: 5,64 %
2019: 14,18 %",Entre 5 y 25,"2015: 90,90 %
2016: 83,33 %
2017: 90,90 %
2018: 91,66 %
2019: 100,00 %","2015: 9,09 %
2016: 16,66 %
2017: 9,09 %
2018: 8,33 %
2019: 0 %",947546400,Activa,http://www.suministrosherrera.es,"Venta y alquiler de maquinario de obras publicas suministros industriales,ferreterÃ­a,alquiler y venta de maquinaria,venta y alquiler de maquinaria, maquinaria de construcciÃ³n, maquinaria de contrucciÃ³n y obras pÃºblicas, plataformas aÃ©reas, plataformas elevadoras",,NO,No constan,"60.101,21 €",13 (año 2019),2019,Positivo Consultar
Alimentacion Allendeduero Sl.,"CALLE SAN FRANCISCO, 67 - BJ",41.67873891,-3.68523325,29/04/2010,4729 - Otro comercio al por menor de productos alimenticios en establecimientos especializados,El comercio al por mayor de alimentos y bebidas.,Entre 3 y 6 millones €,"2017: 
2018: -2,92 %
2019: -10,36 %",Entre 5 y 25,"2016: 83,33 %
2017: 100,00 %
2018: 80,00 %
2019: 92,85 %","2016: 16,66 %
2017: 0 %
2018: 20,00 %
2019: 7,14 %",-,Activa,-,-,-,NO,No constan,3.020 €,14 (año 2019),2019,Positivo Consultar
Tasio Martin Sl,"AVENIDA CASTILLA, 73",41.65899471,-3.69171472,28/12/2001,4121 - Construcción de edificios residenciales,Construcción de edificios residenciales de todo tipo.,Entre 3 y 6 millones €,"2017: 
2018: 24,45 %
2019: 26,57 %",Entre 5 y 25,"2015: 62,50 %
2016: 77,77 %
2017: 60,00 %
2018: 38,46 %
2019: 40,00 %","2015: 37,50 %
2016: 22,22 %
2017: 40,00 %
2018: 61,53 %
2019: 60,00 %",947514163,Activa,http://www.construccionestasio.com,"Empresa de construcción especialista en viviendas pasivas, obras en comunidades de vecinos y rehabilitaciones energéticas. La satisfacción de nuestro cliente es nuestro objetivo -","https://www.facebook.com/construccionestasio/, https://www.facebook.com/construccionestasio/, https://www.facebook.com/construccionestasio/, https://www.instagram.com/tasioconstrucciones/, https://www.instagram.com/tasioconstrucciones/, https://www.instagram.com/tasioconstrucciones/",NO,No constan,3.100 €,15 (año 2019),2019,Positivo Consultar
Musatesa Sl.,"AVENIDA CASTILLA, 66 - PISO 6 A",41.66176169,-3.69206703,31/07/2013,4941 - Transporte de mercancías por carretera,Transporte de mercancías por carretera y actividades auxiliares de operadorde transporte,Entre 3 y 6 millones €,"2017: 
2018: 0,65 %
2019: 4,79 %",Entre 25 y 50,"2015: 100,00 %
2016: 100,00 %
2017: 92,00 %
2018: 100,00 %
2019: 93,33 %","2015: 0 %
2016: 0 %
2017: 8,00 %
2018: 0 %
2019: 6,66 %",-,Activa,-,-,-,NO,No constan,330.000 €,30 (año 2019),2019,Positivo Consultar
Agroquimica Domingo Sl,"AVENIDA VALLADOLID (POL. INDUSTRIAL ALLENDE DE DUERO), PARC. 145 B",41.67307565,-3.69815715,26/12/2005,"4611 - Intermediarios del comercio de materias primas agrarias, animales vivos, materias primas textiles y productos semielaborados",Productos fitosanitarios,Entre 3 y 6 millones €,"2017: 
2018: 1,24 %
2019: -2,19 %",Menos de 5,"2015: 80,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 20,00 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %",947500720,Activa,http://www.agroquimicadomingo.es,Tienda creada con PrestaShop ,,NO,No constan,6.000 €,3 (año 2020),2020,Positivo Consultar
Arveloz Logistica Sl,"AVENIDA PORTUGAL, 53",41.66858,-3.707194,05/11/2007,4941 - Transporte de mercancías por carretera,Servicios de logística y transporte nacional de mercancías por carretera.,Entre 3 y 6 millones €,"2017: 
2018: 4,43 %
2019: -3,99 %",Entre 5 y 25,"2015: 88,88 %
2016: 76,19 %
2017: 79,16 %
2018: 76,92 %
2019: 68,96 %","2015: 11,11 %
2016: 23,81 %
2017: 20,83 %
2018: 23,07 %
2019: 31,03 %",947507289,Activa,http://www.arveloz.com,Arveloz Logística S.L. -,"https://twitter.com/ArvelozL, https://twitter.com/ArvelozL, https://twitter.com/ArvelozL",NO,No constan,460.000 €,20 (año 2020),2020,Negativo Consultar
Rodamientos Duero Sl,"AVENIDA MONTECILLO (PG INDUSTRIAL), 10 - PARC. 24 NAVE 6",41.671516,-3.710037,28/01/1984,4531 - Comercio al por mayor de repuestos y accesorios de vehículos de motor,Distribución de suministros industriales y venta al menor de repuestos para maquinaria agrícola,Entre 3 y 6 millones €,"2017: 
2018: -1,19 %
2019: -4,94 %",Entre 5 y 25,"2015: 93,75 %
2016: 92,85 %
2017: 93,75 %
2018: 86,66 %
2019: 87,50 %","2015: 6,25 %
2016: 7,14 %
2017: 6,25 %
2018: 13,33 %
2019: 12,50 %",947505001,Activa,http://www.rodamientosduero.com,- -,,NO,Importa,"195.000,46 €",16 (año 2020),2020,Positivo Consultar
Agrotecnica Del Duero Sl,"AVENIDA FERIAL, 6",41.67332037,-3.68409803,22/07/1994,"4621 - Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales",Comercio al por mayor de productos fitosanitarios y botellas y cajas de cartón,"Entre 1,5 y 3 millones €","2017: 
2018: -3,38 %
2019: 4,57 %",Entre 5 y 25,"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 90,00 %
2019: 90,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 10,00 %
2019: 10,00 %",947502114,Activa,http://www.agrotecnicadelduero.com,- -,,NO,No constan,"3.065,1 €",11 (año 2020),2020,Positivo Consultar
Centro De Viajeros Sa,"CALLE ISILLA, 13 - 17",41.67125584,-3.68650215,17/10/1978,5610 - Restaurantes y puestos de comidas,Explotación de restaurante-cafetería,"Entre 1,5 y 3 millones €","2017: 
2018: 3,6 %
2019: 1,77 %",Entre 25 y 50,"2015: 90,00 %
2016: 81,25 %
2017: 75,67 %
2018: 76,92 %
2019: 76,92 %","2015: 10,00 %
2016: 18,75 %
2017: 24,32 %
2018: 23,07 %
2019: 23,07 %",947506011,Activa,http://www.tudanca.com,- -,,NO,No constan,"480.809,68 €",37 (año 2020),2020,Positivo Consultar
