"Denominación_social";"Domicilio_social";"Latitud";"Longitud";"Fecha_constitución";"CNAE";"Objeto_social";"Tamaño_empresa_por_facturación";"Índice_crec_interanual_ventas";"Tamaño_empresa_por_empleados";"Empleo_fijo";"Empleo_temporal";"Teléfono";"Estado";"URL";"Metatag_descripción";"RRSS";"Cotización_en_bolsa";"Actividad_internacional";"Capital_social";"Empleados";"Empleados_año";"Resultado";"stringasfactor"
"Calidad Pascual Sau";"CARRETERA PALENCIA, S/N";41,67179731;-3,69192201;"10/07/1969";"4633 - Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles";"Mayorista productos lácteos";"Mayor de 30 millones €";"2016: 
2017: 1,02 %
2018: 1,73 %";"Más de 250";"2014: 90,21 %
2015: 92,67 %
2016: 94,70 %
2017: 92,90 %
2018: 91,70 %";"2014: 9,78 %
2015: 7,32 %
2016: 5,29 %
2017: 7,09 %
2018: 8,29 %";"912035500";"Activa";"http://www.lechepascual.es";"Cuidamos nuestras vacas: en Leche Pascual somos el único gran fabricante en certificar todas nuestras granjas con el sello de Bienestar Animal de AENOR. -";"https://www.facebook.com/LechePascual, https://twitter.com/lechepascual_es, https://www.instagram.com/lechepascual_es/";"NO";"Exporta";"12.726.235,11 €";"1643 (año 2020)";"2020";"Negativo Consultar";FALSE
"Qualianza Servicios Integrales De Distribucion Sl.";"CARRETERA PALENCIA, S/N";41,67179731;-3,69192201;"19/06/2013";"4633 - Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles";"Distribución de productos de alimentación";"Mayor de 30 millones €";"2016: 
2017: 1,73 %
2018: 8,13 %";"Más de 250";"2014: 94,64 %
2015: 94,66 %
2016: 93,78 %
2017: 93,24 %
2018: 90,47 %";"2014: 5,35 %
2015: 5,33 %
2016: 6,21 %
2017: 6,75 %
2018: 9,52 %";"947511020";"Activa";"http://www.qualianza.com";"Pascual engloba un amplio portafolio de marcas de alimentación y bebidas, innovadoras y líderes en el mercado, bajo un denominador común: la calidad -";"https://www.facebook.com/CalidadPascual?hc_location=timeline#!/CalidadPascual?hc_location=timeline, https://www.facebook.com/CalidadPascual?hc_location=timeline#!/CalidadPascual?hc_location=timeline, https://twitter.com/pascual, https://twitter.com/pascual, https://www.instagram.com/pascual/, https://www.instagram.com/pascual/, https://www.linkedin.com/company/calidad-pascual/, https://es.linkedin.com/company/calidad-pascual";"NO";"No constan";"1.622.100 €";"525 (año 2018)";"2018";"Negativo Consultar";FALSE
"Aranda Coated Solutions Sl.";"CALLE PREMIOS ENVERO (POL INDUSTRIAL PRADO MARINA), 8 - NAVE 10";41,656725;-3,708324;"01/03/2007";"2410 - Fabricación de productos básicos de hierro, acero y ferroaleaciones";"Pintado de bobinas y flejado.";"Mayor de 30 millones €";"2016: 
2017: 27,21 %
2018: -0,82 %";"Entre 50 y 250";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 68,18 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 31,81 %
2018: 0 %";"947501091";"Activa";"http://www.coatedsolutions.com";"- -";"";"NO";"Importa y Exporta";"7.945.994 €";"54 (año 2020)";"2020";"Positivo Consultar";FALSE
"Glaxo Wellcome S.a.u";"AVENIDA EXTREMADURA (POL. INDUSTRIAL ALLENDEDUERO), 3";41,664711;-3,722984;"13/03/1970";"2120 - Fabricación de especialidades farmacéuticas";"Fabricación de productos farmacéuticos";"Mayor de 30 millones €";"2016: 
2017: 4,38 %
2018: 7,84 %";"Más de 250";"2014: 87,99 %
2015: 85,38 %
2016: 86,49 %
2017: 90,81 %
2018: 89,91 %";"2014: 12,00 %
2015: 14,61 %
2016: 13,50 %
2017: 9,18 %
2018: 10,08 %";"947529700";"Activa";"-";"-";"-";"NO";"Importa y Exporta";"2.569.876 €";"599 (año 2019)";"2019";"Positivo Consultar";FALSE
"Harinera Arandina, Sa";"CARRETERA N-I, S/N - KM 157";41,688046;-3,685553;"10/11/1982";"1061 - Fabricación de productos de molinería";"Fabricación de harina.";"Mayor de 30 millones €";"2017: 
2018: 25,33 %
2019: 11,31 %";"Entre 25 y 50";"2015: 87,75 %
2016: 87,50 %
2018: 85,71 %
2019: 83,01 %";"2015: 12,24 %
2016: 12,50 %
2018: 14,28 %
2019: 16,98 %";"947500400";"Activa";"http://www.harineraarandina.com";"- -";"";"NO";"Importa";"1.030.890,72 €";"49 (año 2020)";"2020";"Positivo Consultar";FALSE
"Tecnoaranda Sl";"CALLE PREMIOS ENVERO - PG IND PRADO MARINA, 10";41,656725;-3,708324;"14/03/2008";"2511 - Fabricación de estructuras metálicas y sus componentes";"Fabricación de estructuras metálicas en chapa gruesa y calderería.";"Mayor de 30 millones €";"2017: 
2018: -1,58 %
2019: 12,38 %";"Más de 250";"2015: 63,38 %
2016: 63,07 %
2017: 66,85 %
2018: 86,25 %
2019: 81,52 %";"2015: 36,61 %
2016: 36,92 %
2017: 33,14 %
2018: 13,74 %
2019: 18,47 %";"947280000";"Activa";"http://www.tecnoaranda.com";"- tecnoaranda, torres eÃ³licas, torres para autogeneradores, chapa gruesa a medida, chapa industrial, bobina laminada en caliente, tuberÃ­a soldada, arco sumergido, SAW, caldererÃ­a industrial,logÃ­stica, cargas pesadas, cargas voluminosas, transporte especial, centro de servicios, planta integrada eficiente";"";"NO";"Importa y Exporta";"34.787.415 €";"314 (año 2019)";"2019";"Positivo Consultar";FALSE
"Todoaceros Sl";"CALLE PREMIOS ENVERO, 8 - POL INDUSTRIAL PRADO MARINA";41,656725;-3,708324;"01/03/2007";"2561 - Tratamiento y revestimiento de metales";"Decapado mecánico del acero.";"Mayor de 30 millones €";"2016: 
2017: 27,42 %
2018: 25,42 %";"Entre 25 y 50";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 64,70 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 35,29 %
2018: 0 %";"947501091";"Activa";"http://www.todoaceros.com";"- -";"";"NO";"Importa y Exporta";"4.550.219 €";"25 (año 2020)";"2020";"Negativo Consultar";FALSE
"Porcipar Sl";"CARRETERA SORIA (KM 267)";41,648422;-3,673968;"19/06/1995";"4623 - Comercio al por mayor de animales vivos";"Comercio al por mayor de animales vivos.";"Mayor de 30 millones €";"2017: 
2018: 7,34 %
2019: 11,83 %";"Menos de 5";"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %";"2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %";"947511488";"Activa";"http://www.depabloarribas.com";"Hnos. De Pablo Arribas.
Transporte, producción y comercio de ganado porcino. De pablo, transporte, producción, comercio, porcino, aranda de duero";"";"NO";"Importa y Exporta";"3.606,07 €";"4 (año 2019)";"2019";"Positivo Consultar";FALSE
"Artepref Sa";"CARRETERA PALENCIA (KM 2 8)";41,67179731;-3,69192201;"29/10/1987";"2361 - Fabricación de elementos de hormigón para la construcción";"Prefabricados pesados.";"Entre 6 y 30 millones €";"2016: 
2017: 29,45 %
2018: 19,2 %
2019:  %";"Entre 50 y 250";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %";"947504600";"Activa";"http://www.artepref.com";"Creamos edificios singulares mediante prefabricados de hormigón armado. Naves industriales, naves prefabricadas, vigas, pórticos y paneles para cerramientos -";"https://www.facebook.com/artepref.hormigonprefabricado, https://twitter.com/artepref";"NO";"Importa y Exporta";"100.000 €";"141 (año 2020)";"2020";"Positivo Consultar";FALSE
"Constructora Peache Sau";"CALLE BURGO DE OSMA, 52 - BJ INTERIOR";41,66721394;-3,68862166;"22/12/1971";"4121 - Construcción de edificios residenciales";"Construcción de edificios, bodegas, locales y naves industriales.";"Entre 6 y 30 millones €";"2016: 
2017: 23,87 %
2018: -21,83 %
2019:  %";"Entre 25 y 50";"2014: 65,85 %
2015: 59,57 %
2016: 60,00 %
2017: 58,97 %
2018: 62,79 %";"2014: 34,14 %
2015: 40,42 %
2016: 40,00 %
2017: 41,02 %
2018: 37,20 %";"947502200";"Activa";"http://www.constructorapeache.com";"Descripcion del sitio -";"";"NO";"No constan";"193.371,75 €";"45 (año 2020)";"2020";"Negativo Consultar";FALSE
"Delatierra Explotaciones Sl.";"CARRETERA PALENCIA, KM 2,8";41,67179731;-3,69192201;"29/12/2004";"4110 - Promoción inmobiliaria";"LA PROMOCION DE TODA CLASE DE INMUEBLES RUSTICOS Y URBANOS. LA CONSTRUCCION EN GENERAL, EJECUTANDO TODA CLASE DE PROYECTOS Y OBRAS. LA PRESTACION DE SERVICIOS PARA LA CONSTRUCCION EN GENERAL. LA GESTION INTEGRAL DE POLIG";"Entre 6 y 30 millones €";"2016: 
2017: -94,91 %
2018: 8206,86 %";"-";"Administrador Único: GERARDO DE LA CALLE SL REPR PJ DE LA CALLE ORTEGA ALBERTO";"-";"947504600";"Activa";"-";"-";"-";"NO";"No constan";"12.000 €";"-";"-";"Positivo Consultar";FALSE
"Cecoga Servicios Agroalimentarios Sl";"AVENIDA COSTAJAN (POL. NORTE), 11";41,692296;-3,684845;"11/03/1986";"4611 - Intermediarios del comercio de materias primas agrarias, animales vivos, materias primas textiles y productos semielaborados";"Intermediarios del comercio de materias primas agroalimentarias.";"Entre 6 y 30 millones €";"2016: 
2017: -0,09 %
2018: 17,57 %
2019:  %";"Entre 25 y 50";"2014: 96,42 %
2015: 90,62 %
2016: 88,88 %
2017: 79,48 %
2018: 92,50 %";"2014: 3,57 %
2015: 9,37 %
2016: 11,11 %
2017: 20,51 %
2018: 7,50 %";"947505696";"Activa";"http://www.cecoga.es";"- -";"https://www.facebook.com/cecogaonline, https://twitter.com/cecogainfo, https://www.instagram.com/cecoga/?hl=es";"NO";"Importa";"180.000 €";"40 (año 2020)";"2020";"Positivo Consultar";FALSE
"Hiescosa Aranda Hierros Sl";"AVENIDA EXTREMADURA (PG IND ALLENDEDUERO), S/N - PARC. 59";41,664635;-3,723364;"26/07/1996";"4672 - Comercio al por mayor de metales y minerales metálicos";"Comercio al por mayor de hierro y acero.";"Entre 6 y 30 millones €";"2017: 
2018: 11,11 %
2019: -7,03 %";"Entre 25 y 50";"2015: 100,00 %
2016: 100,00 %
2017: 96,00 %
2018: 86,20 %
2019: 89,65 %";"2015: 0 %
2016: 0 %
2017: 4,00 %
2018: 13,79 %
2019: 10,34 %";"947500582";"Activa";"-";"-";"-";"NO";"No constan";"1.325.051,39 €";"29 (año 2019)";"2019";"Positivo Consultar";FALSE
"Arteovo Sl (extinguida)";"CARRETERA PALENCIA, S/N";41,671797;-3,691922;"25/05/2010";"1089 - Elaboración de otros productos alimenticios n.c.o.p.";"Elaboración de huevo liquido.";"Entre 6 y 30 millones €";"2016: 
2017: 6,8 %
2018: -18,56 %";"Entre 25 y 50";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 97,29 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 0 %
2018: 2,70 %";"947546050";"Extinguida";"http://www.arteovo.com";" Vuelve a disfrutar de la Leche. Leche Pascual Sin Lactosa. Con todos los beneficios y el sabor de la leche, pero sin lactosa. Buena para todos porque se digiere mejor. Y sienta mejor. leche | lactosa | pascual | intolerancia | ";"";"NO";"No constan";"984.000 €";"37 (año 2018)";"2018";"Negativo Consultar";FALSE
"Transportes Juan Jose Gil Sl";"CARRETERA N-I (KM 161 5)";41,688046;-3,685553;"28/09/1992";"4941 - Transporte de mercancías por carretera";"Transporte nacional e internacional de mercancías no peligrosas por carretera";"Entre 6 y 30 millones €";"2017: 
2018: 8,31 %
2019: 7,46 %";"Entre 50 y 250";"2015: 100,00 %
2016: 83,33 %
2017: 71,42 %
2018: 86,36 %
2019: 90,17 %";"2015: 0 %
2016: 16,66 %
2017: 28,57 %
2018: 13,63 %
2019: 9,82 %";"947511947";"Activa";"http://www.juanjosegil.com";"- -";"https://www.facebook.com/pages/Transportes-Juan-Jose-Gil/132534383810543, https://www.facebook.com/pages/Transportes-Juan-Jose-Gil/132534383810543";"NO";"No constan";"609.293,8 €";"115 (año 2020)";"2020";"Positivo Consultar";FALSE
"Siro Vazquez Sl";"CALLE PUERTA NUEVA, 3 - 5";41,671927;-3,68963;"26/12/1978";"4674 - Comercio al por mayor de ferretería, fontanería y calefacción";"Comercio al por mayor de saneamientos, material de fontaneria y calefacción.";"Entre 6 y 30 millones €";"2016: 
2017: 5,33 %
2018: -0,69 %
2019:  %";"Entre 50 y 250";"2014: 98,36 %
2015: 98,33 %
2016: 96,72 %
2017: 95,16 %
2018: 95,23 %";"2014: 1,63 %
2015: 1,66 %
2016: 3,27 %
2017: 4,83 %
2018: 4,76 %";"947500128";"Activa";"http://www.sirovazquez.es";"- -";"";"NO";"Importa";"120.202,42 €";"63 (año 2020)";"2020";"Negativo Consultar";FALSE
"Logica Aranda Sl";"CALLE PICOTE (POL INDUSTRIAL ALLENDE DUERO), 16";41,67038124;-3,70546975;"18/12/2002";"4941 - Transporte de mercancías por carretera";"Empresa de transporte nacional e internacional,servicios logísticos,distribución,almacenaje, flota propia trailer mega, servicio de mensajeria y paqueteria.";"Entre 6 y 30 millones €";"2016: 
2017: 12,27 %
2018: -12,34 %
2019:  %";"Entre 50 y 250";"2014: 72,91 %
2015: 64,06 %
2016: 64,93 %
2017: 60,22 %
2018: 57,64 %";"2014: 27,08 %
2015: 35,93 %
2016: 35,06 %
2017: 39,77 %
2018: 42,35 %";"947546164";"Activa";"http://www.logicaranda.es";"Lógica Aranda; servicios de transporte, logística , almacenaje, warehousing, transport y distribución de mercancía en toda Europa Lógica Aranda, Transporte nacional internacional, Logística, Aranda de Duero, Burgos, Cabeza tractora, Remolque, Semi remolque, Mega, Almacen, Coches, Vehículos, Camiones, Mercancías, Satisfechos, Clientes, Seguridad, Fiables, transporte burgos, aranda de duero, transporte españa, logística.";"";"NO";"Exporta";"756.513 €";"85 (año 2020)";"2020";"Positivo Consultar";FALSE
"Vidriera Arandina Sl";"AVENIDA PORTUGAL (PG IND ALLENDE DE DUERO), 2 - P 49";41,664994;-3,738385;"20/11/1997";"2312 - Manipulado y transformación de vidrio plano";"Transformación de vidrio templado y laminado, doble acristalamiento, etc.";"Entre 6 y 30 millones €";"2017: 
2018: 25,12 %
2019: 12,05 %";"Entre 50 y 250";"2015: 70,96 %
2016: 64,48 %
2017: 64,86 %
2018: 66,38 %
2019: 70,73 %";"2015: 29,03 %
2016: 35,51 %
2017: 35,13 %
2018: 33,61 %
2019: 29,26 %";"947512357";"Activa";"http://www.lavidriera.com";"Vidriera Arandina, la solucion a sus necesidades de acristalamiento, aislamiento térmico, escaparatismo o decoración: Vidrio de cámara Guardian Select, vidrios de seguridad, de altas prestaciones, mateados e impresos. Vidriera, arandina,  acristalamiento, doble, cámara, aislante, cristal, ventanas, fábrica, fabricante, montaje, instalación, aislamiento, vidrio";"https://www.facebook.com/vidriera.arandina/, https://twitter.com/vidrierarandina, https://www.instagram.com/vidrieraarandina/, https://www.linkedin.com/company/2573057?trk=NUS_CMPY_TWIT";"NO";"No constan";"2.128.194,55 €";"120 (año 2020)";"2020";"Positivo Consultar";FALSE
"Spacio Duero Sl";"AVENIDA PORTUGAL, 121";41,6687315;-3,70679822;"10/02/2009";"4110 - Promoción inmobiliaria";"COMPRA, VENTA, ARRENDAMIENTO Y EXPLOTACION DE BIENES INMUEBLES. LA TENENCIA, COMPRA Y VENTA DE VALORES MOBILIARIOS, EXCEPTUANDOSE AQUELLAS ACTIVIDADES PROPIAS DE LAS SOCIEDADES DE INVERSION COLECTIVA O QUE ESTEN SUJETAS";"Menor de 300 mil €";"2017: 
2018: 27509,94 %
2019: -97,11 %";"Menos de 5";"2018: 100,00 %";"2018: 0 %";"947512377";"Activa";"-";"-";"-";"NO";"No constan";"10.000 €";"4 (año 2018)";"2018";"Negativo Consultar";FALSE
"Evolution Chr Company Sl.";"AVENIDA MIRANDA DO DOURO, 2 - BJ";41,669811;-3,686339;"03/02/2012";"4121 - Construcción de edificios residenciales";"Ejecución de obras nuevas de edificaciones urbanas, industriales, abastecimientos de aguas, movimientos de tierra, y toda clase de obras de construcción. Adquisición y venta de fincas. Compra, venta y explotación de bienes inmuebles. Compra y venta de valores mobiliarios";"Entre 6 y 30 millones €";"2016: 
2017: 118,57 %
2018: 7,02 %";"Entre 25 y 50";"2014: 33,33 %
2015: 70,00 %
2016: 80,00 %
2017: 29,16 %
2018: 36,00 %";"2014: 66,66 %
2015: 30,00 %
2016: 20,00 %
2017: 70,83 %
2018: 64,00 %";"-";"Activa";"-";"-";"-";"NO";"No constan";"33.010 €";"25 (año 2018)";"2018";"Positivo Consultar";FALSE
"Hormigones Y Excavaciones Gerardo De La Calle Sl";"CARRETERA PALENCIA, KM 2.8";41,67179731;-3,69192201;"31/12/1991";"2361 - Fabricación de elementos de hormigón para la construcción";"Fabricacion de Prefabricado de hormigón.";"Entre 6 y 30 millones €";"2016: 
2017: 26,66 %
2018: 11,06 %";"Entre 25 y 50";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %";"947504110";"Activa";"http://www.grupogerardodelacalle.com";"- Grupo Industrial Gerardo de la calle, artepref, desarrollos industriales prado marina, hormigones y excavaciones, suelo industrial, prefabricados de hormigón, hormigones, excavaciones, suelo industrial, áridos, calferman";"";"NO";"No constan";"1.659.000 €";"43 (año 2020)";"2020";"Positivo Consultar";FALSE
"Tamaca Autocentro Sa";"AVENIDA LUIS MATEOS, 84";41,664767;-3,704617;"23/12/1992";"4730 - Comercio al por menor de combustible para la automoción en establecimientos especializados";"Explotación de 3 estaciones de servicio, 1 túnel de lavado, 3 tiendas y 1 restaurante-cafetería";"Entre 6 y 30 millones €";"2017: 
2018: 102,71 %
2019: 62 %";"Entre 25 y 50";"2015: 93,93 %
2016: 91,66 %
2017: 94,11 %
2018: 97,05 %
2019: 94,44 %";"2015: 6,06 %
2016: 8,33 %
2017: 5,88 %
2018: 2,94 %
2019: 5,55 %";"947546536";"Activa";"-";"-";"-";"NO";"No constan";"471.373,79 €";"36 (año 2019)";"2019";"Positivo Consultar";FALSE
"Gasoleos Aranda Sl";"CALLE CANARIAS, 1";41,665079;-3,724868;"22/12/1992";"4730 - Comercio al por menor de combustible para la automoción en establecimientos especializados";"Transporte nacional de mercancías";"Entre 6 y 30 millones €";"2017: 
2018: 16,18 %
2019: 9,74 %";"Entre 5 y 25";"Administrador:  FERNANDO B...
 JOSE IGNACIO B...: Gerente
Director Financiero:  JOSE IGNACIO B...";"Administrador: Administrador
 JOSE IGNACIO B...:  JOSE IGNACIO B...
Director Financiero: Administrador";"947509200";"Activa";"-";"-";"-";"NO";"No constan";"3.005,06 €";"7 (año 2020)";"2020";"Positivo Consultar";FALSE
"Ingenieria De Proceso Y Diseño Taesa Sa";"CARRETERA N-I (KM 161, ,  POL. NORTE APDO DE AV.COSTAJAN), 112 - Nº15";41,666808;-3,700066;"30/12/1998";"7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico";"Servicios técnicos de ingeniería para la industria cárnica.";"Entre 6 y 30 millones €";"2016: 
2017: 9,84 %
2018: 64,16 %
2019:  %";"Entre 25 y 50";"2014: 77,77 %
2015: 80,76 %
2016: 87,50 %
2017: 91,30 %
2018: 88,00 %";"2014: 22,22 %
2015: 19,23 %
2016: 12,50 %
2017: 8,69 %
2018: 12,00 %";"947510624";"Activa";"http://www.taesa-gi.com";"Instalaciones completas para industrias cárnicas. Máquinas y equipamento para mataderos y salas despiece. mataderos,porcino,ovino,bovino,accesorios,depuradoras,salas de despiece,industria cárnica";"";"NO";"Exporta";"601.200 €";"27 (año 2020)";"2020";"Positivo Consultar";FALSE
"Explotacion Porcina Gonzalez Sat 7549";"AVENIDA CASTILLA, 72 - PLT 4 A";41,6608568;-3,69203686;"15/07/1985";"0146 - Explotación de ganado porcino";"PRODUCCION Y ENGORDE DE CERDOS ASI COMO LA PRODUCCION DE CEREALES";"Entre 6 y 30 millones €";"2017: 
2018: -14,45 %
2019: 34,69 %";"Entre 5 y 25";"2015: 56,25 %
2016: 73,33 %
2017: 62,50 %
2018: 93,75 %
2019: 86,66 %";"2015: 43,75 %
2016: 26,66 %
2017: 37,50 %
2018: 6,25 %
2019: 13,33 %";"947546481";"Activa";"-";"-";"-";"NO";"Exporta";"151.959,9 €";"15 (año 2019)";"2019";"Positivo Consultar";FALSE
"Lobanfi Sl";"AVENIDA LUIS MATEOS (POL IND), 84 - PAR 16";41,664767;-3,704617;"11/07/1995";"4730 - Comercio al por menor de combustible para la automoción en establecimientos especializados";"Gestión de estación de servicio y restaurantes";"Entre 6 y 30 millones €";"2016: 
2017: 873,95 %
2018: 133,54 %";"Entre 25 y 50";"2014: 100,00 %
2015: 100,00 %
2016: 83,33 %
2017: 72,91 %
2018: 78,43 %";"2014: 0 %
2015: 0 %
2016: 16,66 %
2017: 27,08 %
2018: 21,56 %";"947546536";"Activa";"-";"-";"-";"NO";"No constan";"6.010,12 €";"48 (año 2020)";"2020";"Positivo Consultar";FALSE
"Por Blan Sa";"CARRETERA VALLADOLID, 2";41,67541;-3,69465;"11/07/1986";"4321 - Instalaciones eléctricas";"Servicios de instalaciones eléctricas.";"Entre 3 y 6 millones €";"2016: 
2017: -14,95 %
2018: 22,78 %
2019:  %";"Entre 25 y 50";"2014: 87,87 %
2015: 79,41 %
2016: 91,17 %
2017: 90,62 %
2018: 90,62 %";"2014: 12,12 %
2015: 20,58 %
2016: 8,82 %
2017: 9,37 %
2018: 9,37 %";"947501364";"Activa";"http://www.porblan.com";"Contamos con una amplia trayectoria en el sector de montajes eléctricos industriales. Contacte con nosotros en Aranda de Duero, le esperamos. -";"";"NO";"No constan";"66.110 €";"32 (año 2020)";"2020";"Negativo Consultar";FALSE
"Magdalenas De Las Heras Sa";"CALLE SEGOVIA (POL IND ALLENDE DUERO), 19 -21";41,66630224;-3,7032878;"30/12/1985";"1072 - Fabricación de galletas y productos de panadería y pastelería de larga duración";"Fabricación de magdalenas";"Entre 3 y 6 millones €";"2017: 
2018: -5,14 %
2019: -7,78 %";"Entre 25 y 50";"2015: 96,42 %
2016: 100,00 %
2017: 100,00 %
2018: 84,00 %
2019: 84,00 %";"2015: 3,57 %
2016: 0 %
2017: 0 %
2018: 16,00 %
2019: 16,00 %";"947502458";"Activa";"http://www.magdalenasdelasheras.com";"Empresa especializada en la producción y distribución de magdalenas y mini-muffins, situada en Aranda de Duero (Burgos) magdalenas,heras, fairy, cakes, fairycakes, baking, sweet, mini-muffins, croissants, madeleines, rellenas, filled, reposteria, aranda, duero, burgos, panaderia, alimentacion, bolleria";"";"NO";"Exporta";"660.500 €";"30 (año 2020)";"2020";"Positivo Consultar";FALSE
"Gangel Sl";"CALLE DOS DE MAYO, 18";41,67316796;-3,68426045;"26/08/2003";"4623 - Comercio al por mayor de animales vivos";"Compra-venta y transporte de ganado porcino.";"Entre 6 y 30 millones €";"2017: 
2018: -12,47 %
2019: 50,7 %";"Entre 5 y 25";"2015: 100,00 %
2016: 85,71 %
2017: 85,71 %
2018: 75,00 %
2019: 100,00 %";"2015: 0 %
2016: 14,28 %
2017: 14,28 %
2018: 25,00 %
2019: 0 %";"947538340";"Activa";"http://www.gangel.es";"- -";"";"NO";"Importa y Exporta";"24.000 €";"6 (año 2020)";"2020";"Positivo Consultar";FALSE
"Hermanos De Pablo Arribas Sl";"CARRETERA SORIA (KM 267)";41,648422;-3,673968;"21/07/1986";"4941 - Transporte de mercancías por carretera";"Transporte de de animales vivos por carretera.";"Entre 3 y 6 millones €";"2017: 
2018: 21,55 %
2019: -4,83 %";"Entre 50 y 250";"2015: 86,66 %
2016: 84,44 %
2017: 85,71 %
2018: 92,30 %
2019: 88,88 %";"2015: 13,33 %
2016: 15,55 %
2017: 14,28 %
2018: 7,69 %
2019: 11,11 %";"947511488";"Activa";"http://www.depabloarribas.com";"Hnos. De Pablo Arribas.
Transporte, producción y comercio de ganado porcino. De pablo, transporte, producción, comercio, porcino, aranda de duero";"";"NO";"No constan";"18.030,36 €";"52 (año 2020)";"2020";"Positivo Consultar";FALSE
"Isaias De Blas Sl";"AVENIDA PORTUGAL, 2";41,664994;-3,738385;"27/12/1988";"4639 - Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco";"Comercio al por mayor y por menor de productos alimenticios y bebidas.";"Entre 3 y 6 millones €";"2016: 
2017: 4,87 %
2018: -0,26 %";"Entre 5 y 25";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %";"947509071";"Activa";"-";"-";"-";"NO";"No constan";"132.823,68 €";"13 (año 2018)";"2018";"Positivo Consultar";FALSE
"Industrias Metalurgicas Esgueva Sa";"CARRETERA VALLADOLID, 20";41,67541;-3,69465;"12/12/1987";"2899 - Fabricación de otra maquinaria para usos específicos n.c.o.p.";"Fabricación de estructuras metálicas y siderometalúrgica";"Entre 3 y 6 millones €";"2017: 
2018: 5,42 %
2019: -29,14 %";"Entre 25 y 50";"2015: 96,07 %
2016: 96,15 %
2017: 97,87 %
2018: 100,00 %
2019: 100,00 %";"2015: 3,92 %
2016: 3,84 %
2017: 2,12 %
2018: 0 %
2019: 0 %";"947507891";"Activa";"http://www.imesa.es";"Imesa, bienes de equipo para centrales hidroeléctricas, arquitectura industrial y calderería. -";"https://www.facebook.com/IndustriasMetalurgicasEsguevaSa, https://twitter.com/ImesaAranda";"NO";"Importa y Exporta";"72.000 €";"44 (año 2020)";"2020";"Negativo Consultar";FALSE
"Motor Aranda Sa";"AVENIDA PORTUGAL (AV PORTUGAL), 100 - PARC. 5";41,66903891;-3,70331575;"13/09/1988";"4511 - Venta de automóviles y vehículos de motor ligeros";"Gestión y explotación de concesionario oficial Opel y servicio posventa.";"Entre 3 y 6 millones €";"2016: 
2017: 11,38 %
2018: 6,65 %
2019:  %";"Entre 5 y 25";"2014: 100,00 %
2015: 100,00 %
2016: 95,65 %
2017: 100,00 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 4,34 %
2017: 0 %
2018: 0 %";"947546538";"Activa";"http://www.motoraranda.com";"Web oficial de Motor Aranda, Concesionario Oficial OPEL en Aranda del Duero (Burgos) OPEL Aranda del Duero (Burgos), Motor Aranda, Concesionario Oficial OPEL Aranda del Duero (Burgos), web OPEL Aranda del Duero (Burgos), coches OPEL Aranda del Duero (Burgos), vehículos OPEL Aranda del Duero (Burgos), ofertas OPEL Aranda del Duero (Burgos), OPEL mokka Aranda del Duero (Burgos), OPEL vehículos de ocasión, cita previa taller OPEL";"http://www.facebook.com/pages/Motor-Aranda/271390126284437";"NO";"No constan";"120.202,42 €";"23 (año 2020)";"2020";"Positivo Consultar";FALSE
